"Method","Url","Status","Ok","Message","Note"
"GET","/api/auth/me","200","True","success",""
"GET","/api/stores","200","True","success",""
"GET","/api/bookings","200","True","success",""
"GET","/api/bookings/list","200","True","success",""
"GET","/api/bookings/{id}","200","True","success",""
"GET","/api/bookings/search","200","True","success",""
"GET","/api/bookings/date/{date}","200","True","success",""
"GET","/api/bookings/range","200","True","success",""
"GET","/api/bookings/status/{status}","200","True","success",""
"GET","/api/bookings/{id}/tables","200","True","success",""
"GET","/api/bookings/{id}/dishes","200","True","success",""
"GET","/api/customers","200","True","success",""
"GET","/api/customers/search","200","True","success",""
"GET","/api/customers/{id}","200","True","success",""
"GET","/api/customers/{id}/history","200","True","success",""
"GET","/api/dashboard/today","200","True","success",""
"GET","/api/dashboard/report","200","True","success",""
"GET","/api/dict/types","200","True","success",""
"GET","/api/dict/items/{code}","200","True","success",""
"GET","/api/dict/batch","200","True","success",""
"GET","/api/dict/staff","200","True","success",""
"GET","/api/dict/customers","200","True","success",""
"GET","/api/dishes","200","True","success",""
"GET","/api/dishes/{id}","500","False","Required request parameter 'storeId' for method parameter type String is not present",""
"GET","/api/dishes/categories","200","True","success",""
"GET","/api/dishes/search","200","True","success",""
"GET","/api/hr/departments","200","True","success",""
"GET","/api/hr/leave","200","True","success",""
"GET","/api/hr/schedule","200","True","success",""
"GET","/api/hr/overtime","200","True","success",""
"GET","/api/hr/lifecycle","200","True","success",""
"GET","/api/hr/attendance","200","True","success",""
"GET","/api/hr/attendance/record","200","False","æªæ¾å°è¯¥åå·¥2026-07çèå¤è®°å½",""
"GET","/api/hr/attendance/summary","200","True","success",""
"GET","/api/hr/payroll","200","True","success",""
"GET","/api/hr/staff","200","True","success",""
"GET","/api/menu-api/ingredients","200","True","success",""
"GET","/api/menu-api/ingredients/{id}","500","False","Required request parameter 'storeId' for method parameter type String is not present",""
"GET","/api/menu-api/ingredients/low-stock","200","True","success",""
"GET","/api/menu-api/inventory/logs","200","True","success",""
"GET","/api/menu-api/inventory/logs/{id}","500","False","Required request parameter 'storeId' for method parameter type String is not present",""
"GET","/api/menu-api/inventory/logs/range","500","False","Failed to convert value of type 'java.lang.String' to required type 'java.time.LocalDateTime'; Failed to convert from type [java.lang.String] to type [@org.springframework.web.bind.annotation.RequestParam @org.springframework.format.annotation.DateTimeFormat java.time.LocalDateTime] for value [2026-07-01 00:00:00]",""
"GET","/api/menu-api/inventory/alerts","200","True","success",""
"GET","/api/ipad/dish/category","200","True","success",""
"GET","/api/ipad/dish/list","200","True","success",""
"GET","/api/ipad/dish/detail/{id}","200","True","success",""
"GET","/api/ipad/package/list","200","True","success",""
"GET","/api/ipad/template/list","200","True","success",""
"GET","/api/ipad/dish/search","200","True","success",""
"GET","/api/ipad/order/current","200","True","success",""
"GET","/api/ipad/table/list","200","True","success",""
"GET","/api/ipad/table/all","200","True","success",""
"GET","/api/ipad/table/filter","200","True","success",""
"GET","/api/ipad/booking/today","200","True","success",""
"GET","/api/ipad/wait/list","200","True","success",""
"GET","/api/kitchen/logs","200","True","success",""
